endTime,podcastName,episodeName,msPlayed,hourlyTime
2024-12-11 17:38:00,Chloe Vs The World,"Tennessee Talks TRUTH About Relationship With Danny Aarons, PREGNANCY, & LockedIn DRAMA!",24637,2024-12-11 17:00:00
2024-12-12 18:49:00,Crime Junkie,INFAMOUS: The Preppy Murder in New York,2855864,2024-12-12 18:00:00
2024-12-13 00:47:00,Crime Junkie,INFAMOUS: The Preppy Murder in New York,4899,2024-12-13 00:00:00
2024-12-13 06:35:00,Bach and Arthur Podcast,"36: Succumbing to Desire, Exposing Our Moral Hypocrisy, and Crashing an AI Car",429093,2024-12-13 06:00:00
2024-12-13 19:22:00,Saving Grace,"139: Italian Bach & Arthur TV Talk Dating Rumours, Tour Gossip & The End Of The World!",1370844,2024-12-13 19:00:00
2024-12-16 11:25:00,The Useless Hotline,"George, Arthur TV & Italian Bach discuss the next influencer Sport and more…",5271614,2024-12-16 11:00:00
2024-12-17 05:40:00,Crime Junkie,MURDERED: Lizzbeth Aleman-Popoca,801194,2024-12-17 05:00:00
2024-12-18 09:10:00,Crime Junkie,MURDERED: Lizzbeth Aleman-Popoca,868650,2024-12-18 09:00:00
2024-12-20 16:34:00,Crime Junkie,MURDERED: Karina Holmer in Boston,1353960,2024-12-20 16:00:00
2024-12-21 19:39:00,Crime Junkie,MURDERED: Karina Holmer in Boston,1843520,2024-12-21 19:00:00
2024-12-22 11:50:00,The Useless Hotline,THE BEST OF THE USELESS HOTLINE 2024!!,1386090,2024-12-22 11:00:00
2024-12-23 14:52:00,Crime Junkie,MURDERED: Robin Benedict,4328333,2024-12-23 14:00:00
2024-12-23 15:28:00,Behind You,Grown man Stalks 13-year old Girl for a Year then Murders her: Case of Lauren Landavazo,2037524,2024-12-23 15:00:00
2024-12-24 07:22:00,Saving Grace,140: GK Barry’s I'm A Celeb Dressing Room Debrief & Juiciest Stories...,820699,2024-12-24 07:00:00
2024-12-25 07:52:00,The Deck,"Javed Akhtar (Jack of Diamonds, Connecticut)",887,2024-12-25 07:00:00
2024-12-25 07:52:00,Park Predators,The Loop,392,2024-12-25 07:00:00
2024-12-25 07:52:00,Kill List,Bath | 14,1337,2024-12-25 07:00:00
2024-12-25 07:53:00,The Nikki & Brie Show,Best of The Year: Looking Back at 2024,116,2024-12-25 07:00:00
2024-12-25 07:58:00,The Nikki & Brie Show,Best of The Year: Looking Back at 2024,29804,2024-12-25 07:00:00
2024-12-25 09:45:00,Lights Out,Police Claimed She Was Sacrificed In A Witch Rite... Who Really Murdered Jeanette DePalma?,0,2024-12-25 09:00:00
2024-12-25 09:47:00,Lights Out,Police Claimed She Was Sacrificed In A Witch Rite... Who Really Murdered Jeanette DePalma?,49183,2024-12-25 09:00:00
2024-12-25 10:49:00,Lights Out,Police Claimed She Was Sacrificed In A Witch Rite... Who Really Murdered Jeanette DePalma?,0,2024-12-25 10:00:00
2024-12-27 12:02:00,Crime Junkie,MURDERED: Aaron Taylor from Phoenix,1086690,2024-12-27 12:00:00
2024-12-28 20:30:00,Rotten Mango,#405: Man From Viral Tiktok Looks Exactly Like Missing Husband- Did He Fake His Own Death For Another Girl,2600883,2024-12-28 20:00:00
2024-12-30 12:04:00,was that TMI?,74: Living Out of My Car,2400,2024-12-30 12:00:00
2024-12-30 12:04:00,was that TMI?,74: Living Out of My Car,0,2024-12-30 12:00:00
2025-01-02 18:33:00,Crime Junkie,INFAMOUS: The Jeff Davis 8,544300,2025-01-02 18:00:00
2025-01-05 12:58:00,Crime Junkie,INFAMOUS: The Jeff Davis 8,2000882,2025-01-05 12:00:00
2025-01-08 11:40:00,Crime Junkie,INFAMOUS: The Jeff Davis 8,5010341,2025-01-08 11:00:00
2025-01-08 12:22:00,Crime Junkie,MURDERED: Lesly Palacio from Las Vegas,2001057,2025-01-08 12:00:00
